39120,חבצלת החוף/אירוס הארגמן
39121,שניאור/בן גוריון
39122,זלמן שניאור/אריה לייב יפה
39123,ש''י עגנון/קרן היסוד
39125,גבעת האירוסים/אירוס הארגמן
39126,חבצלת החוף/אירוס הארגמן
39127,הבריגדה היהודית/החפץ חיים
39128,שמחה ארליך/שדרות בן גוריון
39129,דוד רזניק/החפץ חיים
39130,לוי אשכול/יעקב דורי
39131,אריה מוצקין/ד''ר סטופ
39132,אריה מוצקין/ד''ר סטופ
39133,הבריגדה היהודית/חיים ברלב
39134,בלומנפלד/יעקב דורי
39135,שמחה ארליך/שדרות בן גוריון
39136,לוי אשכול/יעקב דורי
39138,שמחה ארליך/לוי אשכול
39139,בן עמי/שמחה ארליך
39141,בית ספר אלדד/שדרות גולדה מאיר
39142,בן עמי/קהילת צפת
39144,'נאות גולדה א
39145,'נאות גולדה ב
39146,נאות גולדה\חזני
39147,פנקס/57
39148,ש''י עגנון/יאנוש קורצ'אק
39149,שדרות פנחס לבון/פנחס רוטנברג
39150,ש''י עגנון/יצחק אפשטיין
39152,זלמן שניאור/ש''י עגנון
39153,שדרות פנחס לבון/תיאודור וייסלברגר
39154,יצחק קצנלסון/ד''ר וייסלברגר
39155,רוטנברג\נורדאו
39156,פנחס לבון/ישראל בר יהודה
39157,השר ישראל בר יהודה/נורדאו
39158,מנדלי מוכר ספרים/נורדאו
39160,יצחק קצנלסון/שדרות פנחס לבון
39161,שדרות פנחס לבון/יצחק קצנלסון
39162,שדרות פנחס לבון/שלום עליכם
39163,לבון/שלום עליכם
39164,הרב אבו חצירא/הרב רפאל אנקווה
39166,מרכז ביג/שדרות גיבורי ישראל
39167,שדרות גיבורי ישראל/הבונים
39168,שד. גיבורי ישראל/הבונים
39170,שד. גיבורי ישראל/התרופה
39171,שדרות גיבורי ישראל/האומנות
39172,מסוף יד חרוצים
39173,ת.רכבת ספיר
39174,שדרות גיבורי ישראל/התרופה
39175,התרופה/אריה רגב
39176,פארק שיאים
39177,בית חרושת טבע
39178,בית חרושת אביק
39179,הדרים/הראשונים
39180,שד. גיבורי ישראל/האומנות
39181,השלום\הגביש
39182,המחשב/הצורן
39183,עירייה
39184,יצחק גרינבוים/אפרים אלנקווה
39185,יצחק גרינבוים/ד''ר שמורק
39186,גרינבוים/בן צבי
