82 | תל אביב יפו: מסוף כרמלית
45 | רמת גן: איצטדיון וינטר
25 | תל אביב יפו: אוניברסיטת תא
31 | בני ברק: בית עלמין
17 | חולון: מ.רפואי וולפסון
45 | תל אביב יפו: רכבת האוניברסיטה
83 | תל אביב יפו: רכבת מרכז
43 | בת ים: מרכז הספורט
85 | ראשון לציון: מכון וולקני
85 | חולון: מ.רפואי וולפסון
31 | מסוף כרמלית
31 | תל אביב יפו: מסוף כרמלית
34 | תל אביב יפו: מסוף הלוחמים
51 | פתח תקווה: תחנה מרכזית
41 | תל אביב יפו: מסוף הלוחמים
63 | תל אביב יפו: מסוף כרמלית
65 | רמת גן: שער מזרחי שיבא
24 | מרכזית חוף הכרמל
25 | קרית שפרינצק
28 | גרנד קניון
166 | תל אביב יפו: רכבת מרכז
166 | פתח תקווה: הדר גנים
292 | פתח תקווה: הדר גנים
354 | רמלה: תחנה מרכזית
77 | חיפה: גרנד קניון
9 | שכונת זיו
9א | שכונת זיו
70 | רמת גן: שער מזרחי שיבא
67 | איצטדיון וינטר
201 | תל אביב יפו: מסוף כרמלית
37 | רכבת בת גלים
10 | הדר חסן שוקרי
11 | קרית מוצקין: מרכזית הקריות
67 | קניון איילון
79 | נשר: ביס בית יהושע
79 | חיפה: הרצליה
80 | קרית אתא: קריית בנימין
80א | קרית אתא: גבעת הרקפות
80 | רמת הדר
81 | קרית אתא: בית חרושת דשנים
81 | קרית אתא: גבעת אתא
81 | חיפה: צומת קרית אתא
81 | נוה שאנן
84א | צור שלום
37א | הרצליה
38 | בית ספר תל חי
84 | גבעת הרקפות
84 | צור שלום
271 | נהריה: תחנה מרכזית
163 | תל אביב יפו: תחנה מרכזית
123 | מרכזית המפרץ
164 | רחובות: חניון אגד
164 | פתח תקווה: רכבת קרית אריה
12 | קרית מוצקין: מרכזית הקריות
12 | קרית ביאליק: גבעת הרקפות
17 | טכניון
92 | בני ברק: קניון איילון
250 | תל אביב יפו: רכבת מרכז
250 | ראש העין: פסגות אפק
282 | תל אביב יפו: מוזיאון תא
17 | מרכזית חוף הכרמל
119 | תל אביב יפו: מסוף כרמלית
119 | ראשון לציון: מסוף אבי האסירים
140 | בת ים: מרכז הספורט
201 | רחובות: תחנה מרכזית
271 | חיפה: מרכזית המפרץ
282 | ראש העין: בית עלמין
18 | נווה שאנן
123 | מרכזית חוף הכרמל
91 | ביתר
200 | צומת חלוצי התעשיה
91 | גבעת אולגה
92 | מרכז
936 | רבי עקיבא
937 | שיכון ה
938 | קהילות יעקב
941 | תת בעלזא
942 | קרית הרצוג
945 | רבי עקיבא
948 | בני ברק: קהילות יעקב
96 | ביתר
221 | נוה חוף
221 | רכבת הראשונים
390 | אילת: תחנה מרכזית
501 | תל אביב יפו: תחנה מרכזית
200 | חוף דדו
210 | קרית אתא: גבעת אלונים
210 | קרית ביאליק: גבעת הרקפות
125 | תל אביב יפו: מכללת לוינסקי
18 | בית ספר תל חי
24 | אוניברסיטה
905 | פרדס כץ
951 | רבי עקיבא
954 | בני ברק: נווה אחיעזר
965 | שוק סיטונאי
907 | רמת אלחנן
418 | בת ים: בית עלמין
418 | תל אביב יפו: אזורי חן
463 | גבעת שמואל: הרב שלמה גורן
463 | תל אביב יפו: מסוף רדינג
466 | תל אביב יפו: מסוף רדינג
466 | פתח תקווה: אם המושבות החדשה
58 | גבעתיים: כורזין
251 | עכו: הכרם
18 | שכונת זיו
18 | רכבת בת גלים
138 | ראשון לציון: קניונים
138 | יהוד מונוסון: מסוף יהוד
139 | ראשון לציון: קניונים
567 | כפר סבא: תחנה מרכזית
139 | רמת גן: שער מזרחי שיבא
168 | קרית אונו: מסוף קרית אונו
204 | רחובות: תחנה מרכזית
204 | ראשון לציון: קניונים
249 | רחובות: תחנה מרכזית
249 | פתח תקווה: מסוף משה ארנס
168 | תל אביב יפו: מסוף כרמלית
236 | אור יהודה: מסוף אור יהודה
236 | תל אביב יפו: מסוף כרמלית
436 | חמד: מרכז
436 | בני ברק: רבי עקיבא
555 | יהוד מונוסון: מסוף יהוד
555 | תל אביב יפו: מסוף רדינג
2 | כפר קאסם: מרכז
10א | פארק-טק
16 | יוספטל
16 | מ.רפואי רבין
16א | מ.רפואי רבין
25 | חליסה תל עמל
22 | ביג פאשן
22 | נצרת: ביג פאשן
4 | ראס אל חביה
124 | ירושלים: אזור תעשיה תלפיות
150 | עמינדב: עמינדב
150 | ירושלים: תחנת הר הרצל
174 | מעלה אדומים: עירייה
174 | ירושלים: בנייני האומה
263 | עכו: אזור תעשיה
3 | ראס אל חביה
12 | עמק יזרעאל: כניסה מערבית
131 | מ.רפואי כרמל
133 | מרכזית המפרץ
5 | מגדל המים
5 | אזור התעשייה
3 | אזור תעשיה
4 | אזור תעשיה
48 | נהריה: תחנה מרכזית
6א | רכבת האוניברסיטה
14 | קניון גני הדרים
14 | תחנה מרכזית
14א | תחנה מרכזית
17 | ת.רכבת רחובות
27 | מבוא דותן: מרכז
34 | מתחם ביג
55 | נווה הברון
63 | מלון עדן
77 | גבעת אולגה
86 | המושבה
94 | ביתר
96 | נווה עובד
30 | רמת הדר
37א | חיפה: רכבת בת גלים
23א | רוממה הישנה
23 | הדר הנביאים
567 | תל אביב יפו: תחנה מרכזית
40 | שוק תלפיות
13 | קרית מוצקין: מרכזית הקריות
40 | תחנת הרכבל
13 | הדר חסן שוקרי
14 | הדר חסן שוקרי
14 | בת גלים
16 | מרכזית המפרץ
18 | בת ים: בית עלמין
18 | תל אביב יפו: רכבת מרכז
85א | קרית חינוך אורט
85 | קרית חינוך אורט
87 | בית ספר רוגוזין
87 | כבביר
88 | תיכון עירוני ה'
89 | רמת הדר
90 | שכונת זיו
90 | הדר עליון
90א | רמת אשכול
90 | תיכון עירוני ה'
91 | רמת אשכול
45 | פסגת זאב צפון
45 | בנייני האומה
37א | דאלית אל כרמל: פנינת הכרמל
92 | רכסים: בנה ביתך
92 | נוה גנים
92א | גושן
92 | לב העיר
91א | רמת בגין
92 | כפר חסידים א': מרכז
92 | רמת הדר
575 | תל אביב יפו: רכבת מרכז
93 | גבעה ב
93א | חוף קרית חיים
92 | אחוזה
93 | משכנות
93 | מכללת גורדון
93 | רמת ספיר
94א | כיכר אליזבט
95 | רמת אלמוגי
95 | תיכון אליאנס
96 | בן גוריון
96 | נוה פז
575 | כפר סבא: תחנה מרכזית
96 | תיכון אליאנס
97 | סביוני דניה
97א | רוממה החדשה
41 | פתח תקווה: תחנה מרכזית
42 | בת ים: מרכז הספורט
251 | חיפה: מרכזית המפרץ
42 | תל אביב יפו: קריית עתידים
263 | כרמיאל: תחנה מרכזית
272 | נהריה: תחנה מרכזית
272 | חיפה: מרכזית המפרץ
296 | נהריה: תחנה מרכזית
343 | נוף הגליל: אזור תעשייה ג'
43 | רמת גן: שער מזרחי שיבא
89 | תיכון עירוני ה'
361 | צפת: תחנה מרכזית
123 | ירושלים: הר חוצבים
165 | שפרעם: מרכז
92א | חטיבת רימון
40א | מרכזית המפרץ
52 | תחנה מרכזית
57 | רמת גן: איצטדיון וינטר
361 | חיפה: מרכזית המפרץ
94 | תיכון אליאנס
165 | חיפה: מרכזית המפרץ
95א | תיכון אליאנס
98 | מעונות גאולה
166 | אעבלין: מרכז
98 | קריית שמואל
430 | חיפה: מרכזית המפרץ
442 | עפולה: תחנה מרכזית
436 | אשקלון: תחנה מרכזית
437 | ירושלים: תחנה מרכזית
437 | אשקלון: תחנה מרכזית
442 | טבריה: תחנה מרכזית
793 | חיפה: המושבה הגרמנית
1 | מרכז
1 | חפציבה
5 | קרית שדה התעופה: קרית שדה תעופה
66 | פתח תקווה: תחנה מרכזית
88 | נוה דוד
433 | ירושלים: תחנה מרכזית
433 | ראשון לציון: תחנה מרכזית
434 | ירושלים: תחנה מרכזית
22 | אזור תעשיה תלפיות
23 | מרכז
480 | תל אביב יפו: רכבת מרכז
91 | מועדון לנוער
91 | רמת בגין
434 | רחובות: תחנה מרכזית
25 | נוה יעקב
998 | קרית אתא: מרכז
436 | ירושלים: תחנה מרכזית
999 | ירושלים: סנהדריה המורחבת
48 | אחיהוד: תחנת הרכבת
176 | מעלה אדומים: מרכז
825 | תל אביב יפו: תחנה מרכזית
531 | תל אביב יפו: רכבת מרכז
531 | רעננה: לב הפארק
826 | נוף הגליל: אזור תעשייה ג'
532 | רמת השרון: מחנה גלילות
296 | חיפה: מרכזית המפרץ
343 | אחיהוד: תחנת הרכבת
551 | הרצליה: תחנת הרכבת
561 | פתח תקווה: רכבת קרית אריה
826 | תל אביב יפו: תחנה מרכזית
561 | כפר סבא: תחנה מרכזית
836 | טבריה: תחנה מרכזית
564 | רמת גן: שער מזרחי שיבא
564 | כפר סבא: תחנה מרכזית
836 | תל אביב יפו: תחנה מרכזית
961 | ירושלים: תחנה מרכזית
961 | טבריה: תחנה מרכזית
133 | מרכזית חוף הכרמל
962 | ירושלים: תחנה מרכזית
852 | פרדס חנה כרכור: תחנת הרכבת
5 | מרכז ביג
167 | שפרעם: מרכז
167 | חיפה: מרכזית המפרץ
5א | מרכז ביג
12 | תחנה מרכזית
15 | מעבר גבול טאבה
2 | ברנע
2 | מסוף רמז
245 | טירת כרמל: מרכז לבריאות הנפש
3 | מסוף שמשון
245 | חיפה: שוק תלפיות
14א | ראש העין: פסגות אפק
14א | פסגות אפק
303 | פסגות אפק
470 | בני ברק: אזור התעשייה
470 | ראש העין: שבזי
53 | ביס כרמים
54 | רעות
54 | מ.מסחרי לב רעות
54 | ביס כרמים
55 | לב העיר
55 | ת.הדלק שד' הרכס
14 | גבעת המורה
21 | פתח תקווה: רכבת קרית אריה
13 | כפר קאסם: את לב הארץ
48 | דימונה: שוק עירוני
48 | באר שבע: תחנה מרכזית
852 | תל אביב יפו: תחנה מרכזית
300 | תל אביב יפו: תחנה מרכזית
168 | טמרה: מגרש כדורגל
301 | אשקלון: תחנה מרכזית
16 | רמת שרת
168 | חיפה: מרכזית המפרץ
501 | רעננה: מסוף אוטובוסים
16 | הר חוצבים
49 | באר שבע: אצטדיון טרנר
261 | כרמיאל: תחנת הרכבת
301 | תל אביב יפו: תחנה מרכזית
56 | דימונה: שוק עירוני
56א | דימונה: שוק עירוני
56 | באר שבע: תחנה מרכזית
80א | שחמון
81 | יעלים
504 | תל אביב יפו: רכבת מרכז
300 | אשקלון: תחנה מרכזית
70 | מרכזית המפרץ
72 | כפר חסידים א': מרכז
10 | איזור תעשיה כבדה
10 | רובע טו
72 | חיפה: מרכזית המפרץ
72א | חיפה: מרכזית המפרץ
76 | יגור: מסוף יגור
77 | יגור: מסוף יגור
80א | רחוב החשמל
81 | רמת הדר
1 | תחנה מרכזית
6 | תחנה מרכזית
7א | מרכז העיר
7 | תחנה מרכזית
350 | אשדוד: רכבת עד הלום
355 | בני ברק: מגדלי ב.ס.ר
355 | אשקלון: תחנה מרכזית
402 | בני ברק: קניון איילון
407 | ירושלים: סנהדריה המורחבת
407 | נתניה: מסוף עין התכלת
431 | ראשון לציון: תחנה מרכזית
176 | ירושלים: בנייני האומה
450 | אשדוד: רובע ג
451 | ירושלים: סנהדריה המורחבת
451 | אשדוד: רובע ג
550 | בני ברק: קניון איילון
552 | ערד: מלונות
552 | אשדוד: רובע ג
554 | ירושלים: תחנה מרכזית
980 | צפת: תחנה מרכזית
980 | בני ברק: בית עלמין
982 | ירושלים: סנהדריה המורחבת
984 | בני ברק: בית עלמין
996 | ירושלים: סנהדריה המורחבת
998 | בני ברק: מגדל המים
999 | קרית אתא: מרכז
403 | ירושלים: תחנה מרכזית
403 | ראשון לציון: רכבת הראשונים
405 | ירושלים: תחנה מרכזית
405 | תל אביב יפו: תחנה מרכזית
439 | ירושלים: תחנה מרכזית
439 | רחובות: תחנה מרכזית
80 | שבעת המינים
83א | הר נוף ש.צפונית
389 | ערד: תחנה מרכזית
389 | תל אביב יפו: רכבת מרכז
392 | באר שבע: תחנה מרכזית
393 | תל אביב יפו: תחנה מרכזית
397 | אילת: תחנה מרכזית
397 | באר שבע: תחנה מרכזית
444 | ירושלים: תחנה מרכזית
444 | אילת: תחנה מרכזית
94 | גבעה א
146 | מרכזית המפרץ
146 | אוניברסיטה
205 | טירת כרמל: מרכז לבריאות הנפש
205 | חיפה: רכבת מרכז השמונה
72א | גבעת טל
72 | נווה אברהם
74 | נווה אברהם
170 | טמרה: מגרש כדורגל
170 | חיפה: מרכזית המפרץ
65 | נחף: מרכז
66 | מג'ד אל כרום: כניסה מערבית
66 | סאג'ור: מרכז
5 | יבנה: רכבת יבנה מערב
56 | תל אביב יפו: מסוף רדינג
58 | שוהם: הדסים
58 | רמת גן: שער מזרחי שיבא
59 | אור יהודה: מסוף אור יהודה
59 | תל אביב יפו: רכבת מרכז
37 | תל אביב יפו: תחנה מרכזית
55 | קרית אונו: מסוף קרית אונו
55 | תל אביב יפו: מסוף רדינג
56 | יהוד מונוסון: מסוף יהוד
96 | שכונה דרומית
98 | רמת רבין
974 | חיפה: מעונות גאולה
974 | אלעד: מסוף אוטובוסים
65 | סח'נין: המכללה
35 | כרמיאל: תחנת הרכבת
36 | חלוץ: מרכז
36 | כרמיאל: תחנת הרכבת
37 | צביה: מרכז
38 | מכמנים: מרכז
38 | כרמיאל: תחנת הרכבת
39 | טל אל: מרכז
39 | כרמיאל: תחנת הרכבת
40 | חזון: מרכז
40 | כרמיאל: תחנת הרכבת
41 | יעד: מרכז
41 | כרמיאל: תחנת הרכבת
42 | כרמיאל: תחנת הרכבת
43 | תרדיון: פארק תעשיות משגב
44 | תרדיון: פארק תעשיות משגב
265 | חיפה: מרכזית המפרץ
265 | כרמיאל: כרמיאל סנטר
40 | רבדים: מרכז
1 | מסוף קדמה
47 | תל אביב יפו: תחנה מרכזית
1 | תרדיון: פארק תעשיות משגב
1 | סח'נין: מרכז
290 | מגאר: מרכז
293 | חיפה: אוניברסיטה
316 | ירושלים: קניון רמות
322 | ירושלים: בית וגן
331 | ירושלים: רוממה
332 | ירושלים: בית וגן
334 | מודיעין עילית: אחוזת ברכפלד
342 | ירושלים: בית וגן
344 | מודיעין עילית: אזור תעשיה
347 | ירושלים: רמת שלמה
566 | תל אביב יפו: נווה שאנן
275 | נתניה: תחנה מרכזית
275 | אריאל: אוניברסיטה
276 | אריאל: אוניברסיטה
290 | ירושלים: בנייני האומה
486 | אריאל: אוניברסיטה
8 | שכונה ירוקה
8 | עתיר ידע
650 | נתניה: עין התכלת
606 | תל אביב יפו: תחנה מרכזית
606 | נתניה: תחנת הרכבת
613 | בני ברק: בית עלמין
613 | נתניה: פרדס הגדוד
354 | עפולה: תחנה מרכזית
354 | עפולה: מ.רפואי העמק
6 | בית עלמין
33 | רמת גן: איצטדיון וינטר
33 | תל אביב יפו: מסוף רדינג
48 | תל אביב יפו: מסוף כרמלית
48 | רעננה: את קריית אתגרים
90 | תל אביב יפו: מסוף כרמלית
90 | הרצליה: קניון ארנה
147 | תל אביב יפו: תחנה מרכזית
149 | תל אביב יפו: תחנה מרכזית
149 | כפר סבא: אזור תעשיה
62 | מ.רפואי רבין
11 | איזור תעשיה כבדה
11 | כפר סבא: שכונה ירוקה
11 | הוד השרון: את נווה נאמן
177 | מעלה אדומים: עירייה
12 | רעננה: מסוף אוטובוסים
177 | ירושלים: בנייני האומה
87 | פתח תקווה: מסוף משה ארנס
18 | כאוכב א שמאלי
88 | עמישב
22 | נצרת: בית ספר אורט
29 | מרום הגליל: מרכז
29 | נצרת: מרכז
