511,ת. מרכזית צפת/הורדה
522,ישיבת שפתי צדיק/שלב ג
522,ת. מרכזית צפת/הורדה
43,מלכיה/מרכז
43,ת. מרכזית צפת/הורדה
1,דולב/קהילת יהדות צרפת
1,בית כנסת/ז'בוטינסקי
4,שכונה בדואית 4
14,ת. רכבת כרמיאל
15,בית ג'ן 1
35,ת.מרכזית עכו/דרך הארבעה
35,ת.מרכזית עכו/דרך הארבעה
35,שד. מ''ג המעפילים/כלנית
35,שד. מ''ג המעפילים/כלנית
46,תיכון עמל
46,ת. מרכזית נהריה/הורדה
294,אוניברסיטה/רב תכליתי
294,מאר אליאס/אל מרג'
295,אוניברסיטה/רב תכליתי
295,ראמה ה/יציאה
70,הנדיב/המייסדים
70,ת. מרכזית חדרה/רציפים
600,ת.מרכזית תל אביב קומה 6/הורדה
600,ת. מרכזית נתניה
601,ת.מרכזית תל אביב קומה 6/הורדה
601,ת. רכבת נתניה
604,מסוף רדינג/הורדה
604,ת. מרכזית נתניה
605,ת.מרכזית תל אביב קומה 6/הורדה
605,ת. מרכזית נתניה
650,המלכים/הרב מיימון
606,ת.מרכזית תל אביב קומה 6/הורדה
606,ת. רכבת נתניה
607,ת.מרכזית תל אביב קומה 6/הורדה
613,בית העלמין/חזון אי''ש
613,קמיל הויסמנס/בלפור
610,איזור התעשיה כפר סבא
610,ת. רכבת נתניה
2,כפר דחי
2,ת.מרכזית עפולה/הורדה
3,צוקית/טבלן
3,ת.מרכזית עפולה/הורדה
10,התעשיה/חיטה
10,ת.מרכזית עפולה/הורדה
13,בית אבות משלב/ז'בוטינסקי
13,ת.מרכזית עפולה/הורדה
13,ת.מרכזית עפולה/שפרינצק
14,ת.מרכזית עפולה/הורדה
16,קיבוץ כפר רופין
16,ת. רכבת בית שאן/הורדה
20,שוק עירוני
20,ת.מרכזית עפולה/שפרינצק
41,מועדון נוער
41,ת.מרכזית עפולה/הורדה
42,מועדון
42,ת.מרכזית עפולה/הורדה
45,אכסאל אזה''ת
45,קרית הממשלה/דרך הציונות
46,מח.נעורה
46,ת.מרכזית עפולה/הורדה
49,בית ספר חב''ד
49,ת. רכבת עפולה/הורדה
51,מושב גדיש
51,ת. רכבת עפולה/הורדה
56,קרית חינוך/הגיא
56,ת.מרכזית עפולה/הורדה
156,ת. רכבת בנימינה
156,ת. רכבת בנימינה
156,ת.מרכזית עפולה/הורדה
156,ת.מרכזית עפולה/הורדה
348,מסוף מגדל העמק/רציפים
348,ת.מרכזית עפולה/הורדה
356,מעלה יצחק/האדמו''ר מבעלזא
356,מעלה יצחק/האדמו''ר מבעלזא
356,ת.מרכזית עפולה/הורדה
356,בית חולים העמק
411,מסוף בית שאן/הורדה
411,ת.מרכזית עפולה/הורדה
412,מסוף בית שאן/הורדה
412,ת.מרכזית עפולה/הורדה
412,מינהלת בית החולים העמק
19,תחנת פיס לבריאות האישה
19,מרכז מסחרי/יוסף ברזילי
350,אום אל גנם
350,אום אל גנם/יציאה
350,ת.מרכזית עפולה/הורדה
350,ת.מרכזית עפולה/הורדה
354,האדמו''ר מבעלזא/דובר שלום
354,האדמו''ר מבעלזא/דובר שלום
354,ת.מרכזית עפולה/הורדה
354,בית חולים העמק
6,בית עלמין עפולה
6,ת.מרכזית עפולה/הורדה
1,בית החולים תל השומר/מיון
1,בית החולים תל השומר/מיון
1,החרושת/מסוף אור יהודה
1,החרושת/מסוף אור יהודה
2,בי''ח שיב''א/שדרות אהרון קציר
36,החרושת/מסוף אור יהודה
36,מסוף רדינג/הורדה
37,מסוף יהוד/הורדה
37,ת.מרכזית תל אביב קומה 7/הורדה
55,מסוף קרית אונו
55,מסוף קרית אונו
55,מסוף רדינג/הורדה
55,מסוף רדינג/הורדה
56,מסוף יהוד/הורדה
56,מסוף רדינג/הורדה
58,שד. עמק איילון/מודיעים
58,בי''ח שיב''א/שדרות אהרון קציר
59,מסוף אור יהודה
59,ת. רכבת תל אביב
68,מסוף קרית אונו
68,ת.מרכזית תל אביב קומה 7/הורדה
69,בי''ח שיב''א/שדרות אהרון קציר
69,ת. רכבת תל אביב
76,מסוף אור יהודה
76,מסוף משה ארנס/הורדה
78,מסוף אור יהודה
78,מסוף משה ארנס/הורדה
137,מסוף יהוד/הורדה
137,קלצ'קין
138,דוד סחרוב/אברהם בר
138,מסוף יהוד/הורדה
139,דוד סחרוב/אברהם בר
139,בי''ח שיב''א/שדרות אהרון קציר
168,מסוף קרית אונו
168,מסוף קרית אונו
168,מסוף כרמלית/הכרמל
168,מסוף כרמלית/הכרמל
236,מסוף אור יהודה
236,מסוף כרמלית/הורדה
436,הזית/סובה
436,רבי עקיבא/הראשונים
398,כצנלסון/ששת הימים
398,בית ספר דתי/הבנים
2,עבד אל כרים קאסם/אל ח'ליל
2,ת. רכבת ראש העין צפון
10א,מסוף חרש
16,אסתר המלכה/ד''ר וייסבורג
16,בלינסון קניון אבנת/מסוף יותם ויואב
16א,בלינסון קניון אבנת/מסוף יותם ויואב
16א,בלינסון קניון אבנת/מסוף יותם ויואב
17,בית העלמין
17,מסוף משה ארנס/הורדה
22,דרך מנחם בגין/קופת חולים
22,מסוף חרש
23,בית רבקה
23,בן ציון גליס/הבורסקאי
25,בית רבקה
25,מסוף משה ארנס/הורדה
25,מסוף משה ארנס/הורדה
27,בית העלמין
27,עמל/שלמה מיכאליס
44,רכבת קריית אריה/חנה וסע
44,מסוף משה ארנס/הורדה
62,בן ציון גליס/צבי ברגמן
62,בלינסון קניון אבנת/מסוף יותם ויואב
83,שיטה/שיקמה
83א,שיטה/שיקמה
83,בלינסון קניון אבנת/מסוף יותם ויואב
83א,בלינסון קניון אבנת/מסוף יותם ויואב
84,השחר/הצבעוני
84,מסוף משה ארנס/הורדה
85,שד. עמק איילון/מודיעים
85,מסוף חרש
85,מסוף חרש
87,בי''ח שיב''א/שדרות אהרון קציר
87,מסוף משה ארנס/הורדה
88,בית ספר בית יעקב/דרך מנחם בגין
88א,רכבת קריית אריה/חנה וסע
89א,'נחשונים ב
89,מסוף משה ארנס/הורדה
91א,בלינסון קניון אבנת/מסוף יותם ויואב
91,בלינסון קניון אבנת/מסוף יותם ויואב
97,דרך מנחם בגין/קופת חולים
97,רכבת קריית אריה/חנה וסע
97,רכבת קריית אריה/חנה וסע
99,בית ספר בית יעקב/דרך מנחם בגין
99,בלינסון קניון אבנת/מסוף יותם ויואב
99,בלינסון קניון אבנת/מסוף יותם ויואב
337,העצמאות/משעול ד''ר נפתלי קבנצל
287,בי''ח שיב''א/שדרות אהרון קציר
1,יפיע ד'/יציאה
1,מרכז מסחרי/המעיין
5,ארבל/יודפת
5,ארבל/יודפת
5,5104/אום קובי
6,9004/5026
6,בית ספר נעמ''ת
12,היוצר/המרכבה
12,היוצר/המרכבה
12,מרכז דדו/יזרעאל
12,דליה/יקינטון
14,דודג סנטר
14,כרכום/שדרות מעלה יצחק
15,בי''ס סיליזיאן
15,בית ספר תיכון שנלר
17,בית דפוס אלחכים/ואדי אל חאג
18,10297
18,10297
22,מרכז מסחרי
